Height,Diameter,Weight,Stain_Area,Eggshell_fissure,Leaks_presence,Internal_immaculacy,Specific_gravity,Motted_area,Internal_chamber_distance,Color_uniformity,Rugosity,Eggshell_thickness
54.471,47.521,65.632,0.18,133.0,False,True,1.0779,6.4,4.9,1.9,10.0,0.434
54.471,47.574,65.623,0.2,93.0,False,True,1.0777,0.3,5.2,0.4,3.9,0.444
54.471,47.524,65.608,0.56,101.0,False,True,1.075,0.5,5.8,3.7,5.4,0.333
55.539,46.168,64.498,0.03,16.0,False,True,1.0621,5.1,6.1,0.4,1.4,0.416
55.539,46.135,64.414,0.93,93.0,False,True,1.0644,5.7,4.1,1.7,1.6,0.325
55.539,46.124,64.456,0.9,38.0,True,True,1.0682,5.9,6.6,0.9,4.6,0.4
55.609,45.374,67.087,0.0,49.0,False,True,1.0512,4.6,4.9,1.1,8.9,0.443
55.621,45.324,67.554,0.08,137.0,False,True,1.0856,6.7,6.9,1.2,5.5,0.388
55.675,45.367,67.009,0.17,13.0,False,True,1.0717,3.0,3.9,2.8,6.9,0.421
55.981,45.845,65.712,0.36,22.0,False,True,1.0701,5.6,3.1,5.1,8.7,0.352
55.981,45.825,65.112,0.73,121.0,False,True,1.0877,3.5,6.3,3.1,7.6,0.448
55.981,45.858,65.962,0.83,47.0,False,True,1.0558,7.0,4.2,2.0,7.8,0.352
56.323,45.765,64.713,0.48,8.0,False,True,1.0772,6.4,6.6,0.4,5.4,0.38
56.362,45.776,64.709,0.72,140.0,False,True,1.0861,4.5,3.4,1.8,10.3,0.412
56.381,45.765,64.705,0.12,41.0,False,True,1.0868,2.5,4.3,3.1,5.7,0.331
56.419,45.678,64.789,0.85,135.0,False,False,1.0701,7.2,3.5,5.1,5.2,0.378
56.435,45.146,64.003,0.75,6.0,False,False,1.0798,5.3,3.8,4.6,9.5,0.446
56.457,46.823,65.601,0.22,100.0,True,True,1.0628,5.2,3.9,1.1,10.4,0.353
56.481,46.834,65.632,0.13,64.0,False,True,1.0647,2.7,4.6,5.7,1.4,0.321
56.624,45.345,65.607,0.71,24.0,False,True,1.0888,7.1,5.7,4.4,0.5,0.368
56.627,46.308,65.442,0.51,139.0,False,True,1.0893,5.3,5.8,3.0,7.2,0.365
56.654,46.378,65.414,0.12,39.0,False,True,1.0753,4.0,6.4,2.7,2.0,0.447
56.661,45.345,68.006,0.37,140.0,False,True,1.074,1.8,4.2,1.4,9.3,0.32
56.683,45.324,65.612,0.53,147.0,False,False,1.0863,2.1,6.3,5.2,0.5,0.367
56.691,45.347,68.092,0.9,1.0,True,False,1.0746,0.2,6.5,4.4,7.1,0.32
56.824,46.924,65.751,0.34,58.0,False,True,1.0875,5.3,4.8,3.4,2.4,0.339
56.824,46.438,65.613,0.54,97.0,True,True,1.0573,1.0,3.7,0.4,10.0,0.45
56.835,46.498,65.653,0.8,115.0,False,False,1.0686,0.1,3.4,2.8,1.1,0.391
56.874,46.979,65.992,0.19,39.0,False,True,1.0869,0.7,5.1,5.8,2.9,0.388
56.918,45.517,65.002,0.71,6.0,False,False,1.0789,0.3,5.9,2.4,4.6,0.306
56.972,45.535,65.523,0.35,88.0,True,True,1.0592,6.4,5.3,1.5,5.7,0.409
57.045,46.528,66.866,0.93,5.0,False,True,1.0502,3.3,3.9,5.8,0.4,0.301
57.091,47.567,66.287,0.91,104.0,False,True,1.0705,4.3,6.4,2.4,3.5,0.353
57.131,45.589,65.112,0.49,120.0,True,True,1.0581,2.1,3.2,1.0,4.8,0.368
57.149,45.556,65.112,0.27,100.0,True,False,1.059,1.7,3.7,5.6,5.1,0.388
57.225,46.27,65.723,0.68,24.0,False,True,1.0704,2.2,5.5,4.1,6.8,0.431
57.225,45.527,66.098,0.0,81.0,False,True,1.0723,5.1,4.9,4.5,3.8,0.377
57.254,46.234,65.722,0.12,43.0,False,True,1.072,1.7,5.7,1.1,6.4,0.395
57.267,45.125,66.661,0.41,28.0,False,True,1.0695,2.6,5.4,2.1,4.5,0.333
57.278,45.537,66.331,0.2,74.0,False,False,1.058,5.7,5.8,3.1,2.9,0.366
57.293,45.104,66.023,0.28,83.0,True,True,1.0604,1.1,3.5,3.3,2.0,0.316
57.305,45.578,65.812,0.34,110.0,False,True,1.0597,2.5,5.7,0.7,2.6,0.345
57.311,44.921,65.765,0.81,122.0,True,False,1.0516,2.4,5.9,5.0,7.5,0.369
57.321,46.448,68.009,0.44,122.0,False,False,1.0863,2.8,4.3,3.3,6.1,0.428
57.325,45.264,65.812,0.29,126.0,False,True,1.0882,1.3,5.8,3.6,0.6,0.313
57.354,46.468,68.131,0.12,15.0,False,True,1.068,5.0,7.1,5.0,2.7,0.325
57.361,45.348,65.808,0.53,123.0,False,True,1.0807,1.0,3.8,4.9,1.6,0.389
57.381,45.276,65.802,0.27,97.0,True,True,1.0692,1.9,5.2,2.0,2.7,0.364
57.385,44.905,65.724,0.84,131.0,True,True,1.0604,3.1,4.5,4.7,5.0,0.42
57.406,45.808,66.052,0.77,112.0,False,True,1.0779,4.4,3.2,5.3,7.2,0.332
57.409,45.835,66.405,0.67,15.0,False,True,1.0756,3.2,6.8,5.7,0.3,0.437
57.414,46.146,67.008,0.47,34.0,False,True,1.0791,5.8,4.1,2.1,0.8,0.41
57.421,45.228,66.213,0.78,53.0,False,True,1.089,4.4,5.9,5.4,4.0,0.335
57.423,46.179,67.986,0.06,11.0,True,True,1.0728,2.0,5.9,5.3,1.0,0.408
57.434,45.607,65.367,0.94,7.0,False,False,1.0546,6.5,3.7,0.6,2.1,0.349
57.435,45.668,65.332,0.88,100.0,False,True,1.0605,1.9,3.3,3.2,9.1,0.312
57.481,45.217,66.312,0.12,138.0,False,True,1.0873,3.9,5.2,3.4,2.8,0.322
57.515,44.426,65.802,0.77,63.0,False,True,1.0712,2.3,3.5,1.0,8.5,0.401
57.519,45.248,65.231,0.09,99.0,False,True,1.0605,2.3,4.7,1.5,4.3,0.362
57.523,45.268,65.457,0.26,19.0,False,True,1.0661,0.5,4.6,1.7,7.7,0.323
57.554,44.418,65.811,0.4,96.0,False,True,1.0799,6.8,5.7,5.6,8.1,0.358
57.614,45.637,65.613,0.12,91.0,False,False,1.0624,0.9,4.0,4.7,8.2,0.423
57.615,45.425,65.301,0.31,46.0,False,True,1.0562,3.3,6.0,3.0,9.6,0.306
57.621,45.697,65.668,0.99,45.0,False,False,1.0697,4.6,3.4,1.1,2.9,0.344
57.634,45.436,65.382,0.66,66.0,False,False,1.0548,5.5,3.7,2.6,7.0,0.35
57.643,44.969,65.901,0.08,61.0,False,True,1.0867,4.6,4.3,4.6,4.8,0.302
