Height,Diameter,Weight,Grade
54.471,47.521,65.632,C
54.471,47.574,65.623,C
54.471,47.524,65.608,C
55.539,46.168,64.498,C
55.539,46.135,64.414,C
55.539,46.124,64.456,C
55.609,45.374,67.087,C
55.621,45.324,67.554,C
55.675,45.367,67.009,C
55.981,45.845,65.712,C
55.981,45.825,65.112,C
55.981,45.858,65.962,C
56.323,45.765,64.713,C
56.362,45.776,64.709,C
56.381,45.765,64.705,C
56.419,45.678,64.789,C
56.435,45.146,64.003,C
56.457,46.823,65.601,C
56.481,46.834,65.632,C
56.624,45.345,65.607,C
56.627,46.308,65.442,C
56.654,46.378,65.414,C
56.661,45.345,68.006,C
56.683,45.324,65.612,C
56.691,45.347,68.092,C
56.824,46.924,65.751,C
56.824,46.438,65.613,C
56.835,46.498,65.653,C
56.874,46.979,65.992,C
56.918,45.517,65.002,C
56.972,45.535,65.523,C
57.045,46.528,66.866,C
57.091,47.567,66.287,C
57.131,45.589,65.112,C
57.149,45.556,65.112,C
57.225,46.27,65.723,C
57.225,45.527,66.098,C
57.254,46.234,65.722,C
57.267,45.125,66.661,C
57.278,45.537,66.331,C
57.293,45.104,66.023,C
57.305,45.578,65.812,C
57.311,44.921,65.765,C
57.321,46.448,68.009,C
57.325,45.264,65.812,C
57.354,46.468,68.131,C
57.361,45.348,65.808,C
57.381,45.276,65.802,C
57.385,44.905,65.724,C
57.406,45.808,66.052,C
57.409,45.835,66.405,B
57.414,46.146,67.008,B
57.421,45.228,66.213,B
57.423,46.179,67.986,B
57.434,45.607,65.367,B
57.435,45.668,65.332,B
57.481,45.217,66.312,B
57.515,44.426,65.802,B
57.519,45.248,65.231,B
57.523,45.268,65.457,B
57.554,44.418,65.811,B
57.614,45.637,65.613,B
57.615,45.425,65.301,B
57.621,45.697,65.668,B
57.634,45.436,65.382,B
57.643,44.969,65.901,B
57.694,44.926,65.912,B
57.703,46.214,69.121,B
57.716,46.216,69.099,B
57.749,46.358,66.103,B
57.775,46.356,66.108,B
57.835,47.754,66.231,B
57.863,45.259,65.012,B
57.864,45.259,65.864,B
57.912,46.924,65.773,B
57.918,46.915,65.712,B
57.946,46.534,66.031,B
58.012,45.684,68.818,B
58.014,45.678,68.125,B
58.015,45.405,65.578,B
58.015,45.334,68.812,B
58.021,45.634,68.801,B
58.027,45.546,65.623,B
58.043,45.578,65.602,B
58.054,45.324,68.012,B
58.063,45.459,65.502,B
58.063,45.416,65.512,B
58.072,45.447,65.532,B
58.101,46.678,68.098,B
58.129,46.106,66.211,B
58.154,46.146,66.233,B
58.165,46.671,68.093,B
58.168,46.576,68.009,B
58.192,46.134,66.211,B
58.216,45.337,65.664,B
58.229,45.324,65.646,B
58.236,46.168,68.004,B
58.246,45.989,66.144,B
58.247,45.934,66.146,B
58.263,46.198,68.984,B
58.271,45.368,65.613,A
58.273,45.905,66.107,A
58.291,46.147,68.098,A
58.317,45.745,65.911,A
58.321,45.754,65.921,A
58.323,45.298,65.643,A
58.336,45.224,65.671,A
58.353,45.794,65.901,A
58.371,45.257,65.652,A
58.425,45.056,65.535,A
58.435,45.682,65.571,A
58.456,45.456,65.512,A
58.616,44.527,65.237,A
58.652,44.545,65.293,A
58.698,44.568,65.211,A
58.712,45.307,65.921,A
58.742,45.389,65.941,A
58.758,45.337,65.903,A
58.833,45.267,67.008,A
58.835,45.838,66.045,A
58.848,45.859,66.178,A
58.876,45.834,66.881,A
58.881,45.286,67.244,A
58.883,45.294,67.091,A
58.925,45.317,68.125,A
58.951,45.494,65.576,A
58.966,45.326,68.023,A
58.971,45.445,65.527,A
58.976,45.346,68.123,A
58.982,45.347,68.156,A
59.301,45.906,67.208,A
59.321,45.908,67.206,A
59.34,44.428,66.208,A
59.342,45.956,67.559,A
59.362,44.423,66.905,A
59.397,44.436,66.541,A
59.413,45.367,67.009,A
59.425,45.357,67.912,A
59.456,45.375,67.777,A
59.575,45.394,65.071,A
59.587,45.304,65.512,A
59.597,45.379,65.007,A
59.715,45.379,69.031,A
59.727,45.326,69.036,A
59.757,45.324,69.312,A
61.041,45.558,68.301,A
61.054,45.546,68.298,A
61.972,45.536,68.218,A
62.002,45.634,68.306,A
62.003,45.714,68.331,A
