Height,Diameter,Weight,Stain_Area,Eggshell_fissure,Leaks_presence,Internal_immaculacy,Specific_gravity,Motted_area,Internal_chamber_distance,Color_uniformity,Average_rugosity,Eggshell_thickness
55.489,41.246,63.323,9.86,28.3,False,True,1.086,0.2,4.7,1.9,1.2,0.362
52.794,42.82,59.355,26.22,77.2,False,True,1.075,5.2,6.5,4.0,4.5,0.329
57.041,40.085,56.52,32.99,44.5,False,True,1.07,2.9,7.1,4.1,5.7,0.317
56.991,42.839,61.564,4.4,11.3,False,True,1.091,0.3,4.1,1.4,1.6,0.357
56.951,42.526,60.489,5.62,11.3,False,True,1.085,1.0,5.3,0.7,0.7,0.347
52.983,42.023,55.178,33.75,74.1,False,True,1.068,5.9,6.4,2.4,4.3,0.33
56.743,41.121,60.881,3.09,9.1,False,True,1.084,1.7,4.1,0.6,1.0,0.351
53.197,42.137,58.938,27.11,57.4,False,True,1.077,4.9,6.2,2.7,3.8,0.316
52.82,41.582,66.407,70.01,35.4,False,True,1.059,12.1,9.3,5.1,11.6,0.308
46.254,42.762,61.367,52.75,185.7,False,True,1.058,9.7,8.8,6.6,11.2,0.296
57.351,42.001,55.704,49.58,177.0,True,False,1.064,7.0,11.3,7.5,11.6,0.296
56.91,42.898,59.204,33.85,52.2,False,True,1.076,2.3,6.6,4.4,5.5,0.323
58.811,43.237,66.111,73.65,77.6,False,True,1.064,13.7,11.5,6.8,9.0,0.303
56.407,40.685,60.856,11.78,4.6,False,True,1.091,1.5,4.4,0.6,1.5,0.366
50.205,39.172,55.116,22.08,28.8,False,True,1.076,2.7,6.4,2.4,3.8,0.319
53.87,40.654,59.244,2.74,6.1,False,True,1.088,0.8,5.0,0.8,0.6,0.363
50.339,39.788,60.616,19.78,65.8,False,True,1.077,5.7,7.8,2.5,4.7,0.32
55.997,41.441,63.367,6.49,6.1,False,True,1.085,0.9,5.3,0.6,1.9,0.36
54.053,40.352,56.638,21.17,16.0,False,True,1.075,7.4,6.6,3.0,5.6,0.331
56.347,42.547,58.722,3.18,24.2,False,True,1.093,1.2,3.6,1.4,1.4,0.357
55.767,42.335,63.06,9.64,27.4,False,True,1.091,1.1,4.0,1.6,1.3,0.354
53.722,44.99,58.75,32.37,67.9,False,True,1.077,5.9,7.7,3.2,6.2,0.316
55.085,42.687,60.441,29.87,14.7,False,True,1.077,4.1,6.3,3.0,5.9,0.324
58.286,37.118,50.851,72.09,182.2,False,False,1.065,12.3,10.8,7.2,11.1,0.282
58.515,43.618,64.339,45.32,42.3,False,True,1.061,14.7,11.7,6.4,8.2,0.309
57.634,35.644,56.787,61.38,43.1,False,True,1.064,11.6,9.4,6.3,8.9,0.296
53.952,43.32,57.911,22.57,73.0,False,True,1.07,6.7,7.6,3.5,4.7,0.329
56.403,41.431,61.282,19.11,70.1,False,True,1.068,3.2,6.2,2.7,3.8,0.32
52.902,39.055,61.256,15.91,10.1,False,True,1.07,4.3,6.0,3.1,3.6,0.333
58.139,40.697,66.352,72.7,136.9,True,False,1.056,10.9,11.2,4.0,8.4,0.301
51.127,42.613,57.144,18.9,53.3,False,True,1.075,2.9,8.1,2.1,4.0,0.33
54.081,40.7,59.865,6.35,2.8,False,True,1.09,0.7,3.8,1.2,0.7,0.35
56.773,42.817,60.711,25.08,30.7,False,True,1.069,6.4,8.1,2.3,5.9,0.313
54.304,41.888,62.23,5.75,26.2,False,True,1.09,1.8,5.1,1.4,1.5,0.348
53.222,44.677,52.307,45.67,114.6,True,True,1.06,9.9,9.6,8.0,9.7,0.308
55.334,40.432,63.289,7.05,23.0,False,True,1.091,1.8,4.3,1.9,1.2,0.374
55.99,41.839,61.538,11.52,11.9,False,True,1.083,1.9,5.2,0.5,2.2,0.35
53.497,41.029,61.821,2.58,29.7,False,True,1.09,1.4,3.5,2.0,1.3,0.349
51.215,44.374,55.35,32.99,39.6,False,True,1.07,3.4,6.2,4.1,4.4,0.312
52.244,37.731,51.049,64.19,147.3,True,True,1.067,7.0,8.8,5.3,8.0,0.3
55.011,36.524,62.465,77.46,22.2,False,True,1.06,11.7,8.6,7.8,9.5,0.281
54.574,43.528,61.093,16.58,54.1,False,True,1.077,7.9,6.8,2.4,4.1,0.312
54.604,38.655,55.72,23.42,47.9,False,True,1.075,3.3,7.9,2.8,5.1,0.31
53.342,41.089,62.431,9.73,10.8,False,True,1.084,0.0,4.8,1.9,0.7,0.361
52.5,43.345,67.962,69.07,54.6,False,True,1.063,13.1,9.1,4.6,8.2,0.299
55.335,44.121,61.944,22.71,33.5,False,True,1.068,6.4,7.3,4.4,5.6,0.331
47.333,41.287,57.958,65.0,77.9,False,True,1.061,11.6,11.6,7.8,8.1,0.304
57.126,40.067,57.072,16.78,14.0,False,True,1.069,3.4,7.9,2.6,4.8,0.314
50.352,38.287,60.114,30.2,71.3,False,True,1.074,6.0,8.2,2.3,4.9,0.319
55.474,41.429,62.907,9.04,29.7,False,True,1.091,0.0,3.8,0.9,1.2,0.361
55.777,49.174,61.314,76.7,73.8,False,True,1.065,7.8,9.6,4.8,8.1,0.283
54.176,39.452,66.73,58.84,191.1,False,True,1.06,9.0,9.0,5.6,11.6,0.287
59.759,37.96,64.876,59.55,29.9,False,True,1.061,9.8,11.5,6.2,9.1,0.281
52.793,42.52,58.209,29.18,33.4,False,True,1.071,4.1,7.2,3.7,6.3,0.319
56.943,41.128,58.79,10.74,16.8,False,True,1.09,1.3,4.7,1.0,2.1,0.35
53.135,41.16,58.183,4.44,19.3,False,True,1.084,1.7,4.9,1.5,1.8,0.364
56.256,42.99,59.739,11.56,22.5,False,True,1.09,1.5,4.3,1.8,1.5,0.373
51.781,42.478,59.275,25.36,21.5,False,True,1.073,2.7,7.6,2.6,5.1,0.316
56.58,42.772,60.489,10.34,12.2,False,True,1.083,0.8,5.1,1.5,1.7,0.353
58.473,40.665,57.573,75.59,74.7,False,True,1.064,9.5,8.6,7.7,10.4,0.295
56.659,40.198,61.357,9.12,1.0,False,True,1.093,0.8,5.3,1.7,1.5,0.352
50.513,44.177,61.42,17.05,17.9,False,True,1.073,4.2,7.8,3.3,6.2,0.332
56.061,41.441,66.827,54.21,37.5,False,True,1.057,12.5,9.5,6.6,7.6,0.296
54.083,39.375,50.793,47.13,84.8,False,True,1.066,13.6,11.7,4.8,8.3,0.29
52.843,40.46,66.775,53.25,127.3,True,True,1.065,6.7,11.4,6.9,9.8,0.297
56.349,42.518,60.953,4.82,3.5,False,True,1.094,0.8,3.5,0.7,0.6,0.351
55.123,42.903,59.831,3.07,8.9,False,True,1.091,0.8,4.8,0.7,0.6,0.351
52.817,42.905,52.542,68.26,54.6,False,True,1.055,9.3,9.0,6.2,10.3,0.286
49.817,38.46,56.67,78.37,77.6,False,True,1.065,10.7,8.8,5.7,7.6,0.285
53.663,41.074,60.983,8.73,9.0,False,True,1.083,1.3,4.2,1.7,0.8,0.347
54.301,43.326,60.049,34.42,22.6,False,True,1.075,6.2,7.7,2.0,3.7,0.319
46.16,36.067,50.145,78.85,183.0,False,False,1.065,7.0,10.3,6.5,10.1,0.304
45.417,37.574,66.85,77.76,37.2,False,True,1.057,7.1,10.6,5.1,11.5,0.293
56.017,48.46,56.416,52.38,70.6,False,True,1.063,12.6,8.6,7.4,9.5,0.286
56.115,40.301,61.029,2.37,6.5,False,True,1.094,1.0,4.7,2.0,1.6,0.361
